Date;ner_gt;omas_mn;emision
1/06/2004;7.94;15488.1;11062
1/07/2004;7.9;16537.3;11322
1/08/2004;7.91;15031.5;11077.1
1/09/2004;7.9;15252.8;11045.1
1/10/2004;7.83;15644.8;11313.80323
1/11/2004;7.77;16854.3;11403.9
1/12/2004;7.78;15855.2;12626.4
1/01/2005;7.76;17964.3;11999
1/02/2005;7.72;16647.9;12049.7
1/03/2005;7.62;16845.3;12425
1/04/2005;7.61;16277.5;12151.2
1/05/2005;7.59;15801.9;12150.1
1/06/2005;7.61;15539.2;12278.4
1/07/2005;7.59;16159.9;12618.3
1/08/2005;7.59;16606.1;12347.3
1/09/2005;7.62;17186.6;12495.9
1/10/2005;7.68;16443.1;12751.1
1/11/2005;7.61;17133.3;13001.8
1/12/2005;7.61;16977.4;14261.9
1/01/2006;7.62;17519.8;13639.14697
1/02/2006;7.61;17362.5;13784.70915
1/03/2006;7.62;17313.8;14001.12585
1/04/2006;7.59;15949.4;14125.67255
1/05/2006;7.58;15484.7;14050.41808
1/06/2006;7.61;15620.06;14312.35275
1/07/2006;7.58;16195.8;14439.59094
1/08/2006;7.58;14727.29;14309.26059
1/09/2006;7.61;16376.7;14247.93767
1/10/2006;7.61;13500.38;15302.36743
1/11/2006;7.61;15533.74;15382.58389
1/12/2006;7.6;14991.2;15771.98188
1/01/2007;7.68;15621;16410.38063
1/02/2007;7.7;14656.5;17842.73866
1/03/2007;7.69;14961.2;17795.52372
1/04/2007;7.66;14164.1;17416.48974
1/05/2007;7.64;13652.4;17454.18106
1/06/2007;7.68;12447.8;17639.17963
1/07/2007;7.68;12587.4;17745.11197
1/08/2007;7.66;12756.2;17501.86255
1/09/2007;7.7;12707.8;17638.26853
1/10/2007;7.72;12010.6;18044.90037
1/11/2007;7.64;12762.4;18047.90925
1/12/2007;7.63;11312.7;20010.77752
1/01/2008;7.7;12500.7;18666.44264
1/02/2008;7.72;11829.2;18472.62592
1/03/2008;7.64;12378.2;18640.95218
1/04/2008;7.54;11896.8;18192.6466
1/05/2008;7.43;12880.9;17579.50651
1/06/2008;7.49;12211.6;17478.7793
1/07/2008;7.44;13717.2;17770.76775
1/08/2008;7.41;12977.3;17350.4442
1/09/2008;7.46;13888.1;17344.41635
1/10/2008;7.53;14403.8;17587.82597
1/11/2008;7.64;15089.4;17413.47718
1/12/2008;7.71;15559.4;19665.93416
1/01/2009;7.86;17272.5;18124.7
