date;CPI;target
1/12/1980;4.85;
1/01/1981;5.03;
1/02/1981;5.05;
1/03/1981;5.09;
1/04/1981;5.11;
1/05/1981;5.23;
1/06/1981;5.22;
1/07/1981;5.25;
1/08/1981;5.26;
1/09/1981;5.26;
1/10/1981;5.24;
1/11/1981;5.3;
1/12/1981;5.27;
1/01/1982;5.2;
1/02/1982;5.22;
1/03/1982;5.17;
1/04/1982;5.17;
1/05/1982;5.29;
1/06/1982;5.25;
1/07/1982;5.25;
1/08/1982;5.22;
1/09/1982;5.09;
1/10/1982;5.17;
1/11/1982;5.19;
1/12/1982;5.16;
1/01/1983;5.17;
1/02/1983;5.17;
1/03/1983;5.17;
1/04/1983;5.17;
1/05/1983;5.28;
1/06/1983;5.4;
1/07/1983;5.52;
1/08/1983;5.64;
1/09/1983;5.54;
1/10/1983;5.56;
1/11/1983;5.45;
1/12/1983;5.53;
1/01/1984;5.39;
1/02/1984;5.38;
1/03/1984;5.48;
1/04/1984;5.61;
1/05/1984;5.6;
1/06/1984;5.43;
1/07/1984;5.55;
1/08/1984;5.43;
1/09/1984;5.36;
1/10/1984;5.68;
1/11/1984;5.86;
1/12/1984;5.93;
1/01/1985;5.9;
1/02/1985;5.9;
1/03/1985;5.9;
1/04/1985;6;
1/05/1985;6.22;
1/06/1985;6.42;
1/07/1985;6.61;
1/08/1985;7.13;
1/09/1985;7.02;
1/10/1985;7.35;
1/11/1985;7.47;
1/12/1985;7.59;
1/01/1986;7.88;
1/02/1986;7.98;
1/03/1986;8.29;
1/04/1986;8.58;
1/05/1986;8.64;
1/06/1986;8.95;
1/07/1986;9.09;
1/08/1986;9.17;
1/09/1986;9.19;
1/10/1986;9.31;
1/11/1986;9.26;
1/12/1986;9.22;
1/01/1987;9.43;
1/02/1987;9.45;
1/03/1987;9.58;
1/04/1987;9.62;
1/05/1987;9.74;
1/06/1987;9.77;
1/07/1987;9.82;
1/08/1987;9.83;
1/09/1987;9.81;
1/10/1987;9.87;
1/11/1987;10;
1/12/1987;10.07;
1/01/1988;10.26;
1/02/1988;10.32;
1/03/1988;10.37;
1/04/1988;10.39;
1/05/1988;10.39;
1/06/1988;10.53;
1/07/1988;10.91;
1/08/1988;11.04;
1/09/1988;11.12;
1/10/1988;11.22;
1/11/1988;11.22;
1/12/1988;11.32;
1/01/1989;11.51;
1/02/1989;11.58;
1/03/1989;11.67;
1/04/1989;11.81;
1/05/1989;11.9;
1/06/1989;11.98;
1/07/1989;11.99;
1/08/1989;12.14;
1/09/1989;12.27;
1/10/1989;12.5;
1/11/1989;12.85;
1/12/1989;13.6;
1/01/1990;14.02;
1/02/1990;14.25;
1/03/1990;14.68;
1/04/1990;15.24;
1/05/1990;16.15;
1/06/1990;16.75;
1/07/1990;17.33;
1/08/1990;17.5;
1/09/1990;18.57;
1/10/1990;19.33;
1/11/1990;20.06;
1/12/1990;21.73;
1/01/1991;22.52;15
1/02/1991;22.44;15
1/03/1991;22.47;15
1/04/1991;22.77;15
1/05/1991;23.02;15
1/06/1991;23.22;15
1/07/1991;23.27;15
1/08/1991;23.62;15
1/09/1991;23.46;15
1/10/1991;23.48;15
1/11/1991;23.61;15
1/12/1991;23.91;7
1/01/1992;24.02;7
1/02/1992;24.27;7
1/03/1992;24.73;7
1/04/1992;24.92;7
1/05/1992;25.1;7
1/06/1992;25.3;7
1/07/1992;25.7;7
1/08/1992;25.9;7
1/09/1992;26.08;7
1/10/1992;26.2;7
1/11/1992;26.72;7
1/12/1992;27.31;7
1/01/1993;27.44;7
1/02/1993;27.5;7
1/03/1993;27.7;7
1/04/1993;28.09;7
1/05/1993;28.25;7
1/06/1993;28.94;7
1/07/1993;29.62;7
1/08/1993;29.7;7
1/09/1993;29.57;7
1/10/1993;29.74;7
1/11/1993;30.13;7
1/12/1993;30.49;7
1/01/1994;31.15;7
1/02/1994;31.44;7
1/03/1994;31.62;7
1/04/1994;32;7
1/05/1994;32.25;7
1/06/1994;32.35;7
1/07/1994;32.5;7
1/08/1994;32.88;7
1/09/1994;33.11;7
1/10/1994;33.4;7
1/11/1994;33.87;7
1/12/1994;34.03;7
1/01/1995;34.05;9
1/02/1995;33.93;9
1/03/1995;34.1;9
1/04/1995;34.36;9
1/05/1995;34.87;9
1/06/1995;35.31;9
1/07/1995;35.39;9
1/08/1995;35.6;9
1/09/1995;35.8;9
1/10/1995;36.3;9
1/11/1995;36.78;9
1/12/1995;36.96;9
1/01/1996;37.37;9
1/02/1996;37.61;9
1/03/1996;38.02;9
1/04/1996;38.46;9
1/05/1996;38.71;9
1/06/1996;38.96;9
1/07/1996;39.49;9
1/08/1996;39.88;9
1/09/1996;40.01;9
1/10/1996;40.17;9
1/11/1996;40.62;9
1/12/1996;40.97;9
1/01/1997;41.41;9
1/02/1997;42.38;9
1/03/1997;42.39;9
1/04/1997;42.37;9
1/05/1997;42.43;9
1/06/1997;42.45;9
1/07/1997;42.64;9
1/08/1997;43.09;9
1/09/1997;43.35;9
1/10/1997;43.57;9
1/11/1997;43.73;9
1/12/1997;43.89;9
1/01/1998;44.43;7
1/02/1998;44.68;7
1/03/1998;44.98;7
1/04/1998;45.3;7
1/05/1998;45.54;7
1/06/1998;45.61;7
1/07/1998;45.75;7
1/08/1998;45.81;7
1/09/1998;45.73;7
1/10/1998;45.74;7
1/11/1998;46.95;7
1/12/1998;47.17;7
1/01/1999;47.22;6
1/02/1999;46.99;6
1/03/1999;46.78;6
1/04/1999;46.88;6
1/05/1999;47.23;6
1/06/1999;47.53;6
1/07/1999;48.13;6
1/08/1999;48.57;6
1/09/1999;48.84;6
1/10/1999;49.2;6
1/11/1999;49.36;6
1/12/1999;49.49;6
1/01/2000;49.71;6
1/02/2000;50.1;6
1/03/2000;50.64;6
1/04/2000;51.13;6
1/05/2000;50.71;6
1/06/2000;50.97;6
1/07/2000;51.09;6
1/08/2000;50.86;6
1/09/2000;50.93;6
1/10/2000;51.09;6
1/11/2000;51.43;6
1/12/2000;52.01;6
1/01/2001;52.72;5
1/02/2001;53.1;5
1/03/2001;53.39;5
1/04/2001;53.62;5
1/05/2001;53.78;5
1/06/2001;54.18;5
1/07/2001;54.65;5
1/08/2001;55.33;5
1/09/2001;55.51;5
1/10/2001;55.92;5
1/11/2001;56.31;5
1/12/2001;56.64;5
1/01/2002;57.39;5
1/02/2002;57.89;5
1/03/2002;58.26;5
1/04/2002;58.58;5
1/05/2002;58.79;5
1/06/2002;59.13;5
1/07/2002;59.62;5
1/08/2002;59.61;5
1/09/2002;59.45;5
1/10/2002;59.62;5
1/11/2002;59.89;5
1/12/2002;60.22;5
1/01/2003;60.94;5
1/02/2003;61.36;5
1/03/2003;61.63;5
1/04/2003;61.9;5
1/05/2003;62.06;5
1/06/2003;62.23;5
1/07/2003;62.39;5
1/08/2003;62.57;5
1/09/2003;62.83;5
1/10/2003;63.1;5
1/11/2003;63.38;5
1/12/2003;63.75;5
1/01/2004;64.73;5
1/02/2004;65.21;5
1/03/2004;65.68;5
1/04/2004;66.02;5
1/05/2004;66.57;5
1/06/2004;66.83;5
1/07/2004;67.16;5
1/08/2004;67.35;5
1/09/2004;67.88;5
1/10/2004;68.55;5
1/11/2004;69.23;5
1/12/2004;69.63;5
1/01/2005;70.58;5
1/02/2005;71.1;5
1/03/2005;71.43;5
1/04/2005;71.88;5
1/05/2005;72.24;5
1/06/2005;72.72;5
1/07/2005;73.4;5
1/08/2005;73.67;5
1/09/2005;74.29;5
1/10/2005;75.6;5
1/11/2005;75.63;5
1/12/2005;75.6;5
1/01/2006;76.28;6
1/02/2006;76.26;6
1/03/2006;76.63;6
1/04/2006;77.26;6
1/05/2006;77.75;6
1/06/2006;78.21;6
1/07/2006;78.57;6
1/08/2006;78.82;6
1/09/2006;78.53;6
1/10/2006;78.51;6
1/11/2006;78.96;6
1/12/2006;79.98;6
1/01/2007;81.03;5
1/02/2007;81.31;5
1/03/2007;82.02;5
1/04/2007;82.21;5
1/05/2007;82;5
1/06/2007;82.36;5
1/07/2007;82.96;5
1/08/2007;83.72;5
1/09/2007;84.28;5
1/10/2007;84.57;5
1/11/2007;86.17;5
1/12/2007;86.97;5
1/01/2008;87.83;5.5
1/02/2008;88.44;5.5
1/03/2008;89.48;5.5
1/04/2008;90.73;5.5
1/05/2008;92.03;5.5
1/06/2008;93.53;5.5
1/07/2008;94.7;5.5
1/08/2008;95.17;5.5
1/09/2008;95.03;5.5
1/10/2008;95.5;5.5
1/11/2008;95.51;5.5
1/12/2008;95.15;5.5
1/01/2009;94.75;5.5
1/02/2009;94.19;5.5
1/03/2009;93.95;5.5
1/04/2009;94.02;5.5
1/05/2009;94.14;5.5
1/06/2009;94.11;5.5
1/07/2009;94.41;5.5
1/08/2009;94.48;5.5
1/09/2009;95.06;5.5
1/10/2009;94.88;5.5
1/11/2009;94.93;5.5
1/12/2009;94.88;5.5
1/01/2010;96.11;5
1/02/2010;96.53;5
1/03/2010;97.64;5
1/04/2010;97.55;5
1/05/2010;97.45;5
1/06/2010;97.94;5
1/07/2010;98.3;5
1/08/2010;98.35;5
1/09/2010;98.63;5
1/10/2010;99.15;5
1/11/2010;99.92;5
1/12/2010;100;5
1/01/2011;100.82;5
1/02/2011;101.58;5
1/03/2011;102.52;5
1/04/2011;103.17;5
1/05/2011;103.68;5
1/06/2011;104.23;5
1/07/2011;105.22;5
1/08/2011;105.85;5
1/09/2011;105.78;5
1/10/2011;105.74;5
1/11/2011;105.97;5
1/12/2011;106.2;5
1/01/2012;106.3;4.5
1/02/2012;106.83;4.5
1/03/2012;107.18;4.5
1/04/2012;107.58;4.5
1/05/2012;107.72;4.5
1/06/2012;107.85;4.5
1/07/2012;108.23;4.5
1/08/2012;108.72;4.5
1/09/2012;109.25;4.5
1/10/2012;109.28;4.5
1/11/2012;109.27;4.5
1/12/2012;109.86;4.5
1/01/2013;110.4;4
1/02/2013;111.3;4
1/03/2013;111.83;4
1/04/2013;112.02;4
1/05/2013;112.32;4
1/06/2013;113.02;4
1/07/2013;113.36;4
1/08/2013;113.52;4
1/09/2013;113.85;4
1/10/2013;113.82;4
1/11/2013;114.33;4
1/12/2013;114.68;4
1/01/2014;114.97;4
1/02/2014;115.2;4
1/03/2014;115.46;4
1/04/2014;115.68;4
1/05/2014;115.94;4
1/06/2014;116.56;4
1/07/2014;117.23;4
1/08/2014;117.72;4
1/09/2014;117.78;4
1/10/2014;117.96;4
1/11/2014;118.19;4
1/12/2014;118.06;4
1/01/2015;117.64;4
1/02/2015;118.01;4
1/03/2015;118.26;4
1/04/2015;118.66;4
1/05/2015;118.9;4
1/06/2015;119.34;4
1/07/2015;119.95;4
1/08/2015;120.03;4
1/09/2015;119.99;4
1/10/2015;120.59;4
1/11/2015;121.16;4
1/12/2015;121.68;4
1/01/2016;122.79;4
1/02/2016;123.05;4
1/03/2016;123.3;4
1/04/2016;123.51;4
1/05/2016;124.08;4
1/06/2016;124.63;4
1/07/2016;125.49;4
1/08/2016;125.72;4
1/09/2016;125.46;4
1/10/2016;126.33;4
1/11/2016;126.82;4
1/12/2016;126.83;4
1/01/2017;127.49;4
1/02/2017;127.92;4
1/03/2017;128.23;4
1/04/2017;128.56;4
1/05/2017;128.96;4
1/06/2017;130.07;4
1/07/2017;132.04;4
1/08/2017;131.65;4
1/09/2017;130.93;4
1/10/2017;131.64;4
1/11/2017;132.77;4
1/12/2017;134.03;4
1/01/2018;133.5;4
1/02/2018;133.23;4
1/03/2018;133.54;4
1/04/2018;133.6;4
1/05/2018;134.23;4
1/06/2018;135;4
1/07/2018;135.48;4
1/08/2018;136.08;4
1/09/2018;136.89;4
1/10/2018;137.35;4
1/11/2018;136.95;4
1/12/2018;137.13;4
1/01/2019;138.98;4
1/02/2019;139.17;4
1/03/2019;139.11;4
1/04/2019;139.95;4
1/05/2019;140.32;4
1/06/2019;141.48;4
1/07/2019;141.4;4
1/08/2019;140.18;4
1/09/2019;139.36;4
1/10/2019;140.33;4
1/11/2019;140.95;4
1/12/2019;141.8;4
1/01/2020;141.46;4
1/02/2020;140.89;4
1/03/2020;141.57;4
1/04/2020;142.58;4
1/05/2020;142.85;4
1/06/2020;144.86;4
1/07/2020;145.47;4
1/08/2020;146.05;4
1/09/2020;146.28;4
1/10/2020;147.83;4
1/11/2020;148.65;4
1/12/2020;148.64;4
1/01/2021;148.87;4
1/02/2021;149.34;4
1/03/2021;149.84;4
1/04/2021;150;4
1/05/2021;150.24;4
1/06/2021;150.52;4
1/07/2021;151.02;4
1/08/2021;151.33;4
1/09/2021;151.65;4
1/10/2021;152.2;4
1/11/2021;152.94;4
1/12/2021;153.2;4
