;core_pce;pce;cpiUS;gpenergy;pet_wti;food_imf;fao_Index;IGREA;USPHCI;GEPUI
1968-11-01;4.661730916517737;4.282954057535404;4.424778761061954;;0.0;;;-0.14438096731770952;;
1968-12-01;4.721642133143167;4.3352446278334344;4.705882352941182;;0.0;;;-0.2870336790299378;;
1969-01-01;4.655172413793118;4.256454021762313;4.692082111436946;;0.0;;;-0.3309448575695676;;
1969-02-01;4.5645039131532394;4.095835104122392;4.678362573099393;;0.0;;;-0.3163265217351039;;
1969-03-01;4.631864815932407;4.2412368950545565;5.247813411078739;;5.863192182410426;;;-0.29565667560459596;;
1969-04-01;4.655008267775718;4.37582475587226;5.523255813953476;;9.12052117263844;;;-0.40417744696531216;;
1969-05-01;4.672290720311478;4.412306074151973;5.507246376811592;;9.12052117263844;;;-0.4951066043823549;;
1969-06-01;4.624334941077013;4.587155963302747;5.475504322766556;;9.12052117263844;;;-0.32865576718464057;;
1969-07-01;4.76261274655565;4.719347757917847;5.4441260744985565;;9.12052117263844;;;-0.4733251991570028;;
1969-08-01;4.65024435997432;4.58567561940455;5.428571428571427;;9.12052117263844;;;-0.38818559378636835;;
1969-09-01;4.646246128128229;4.652730950775452;5.698005698005693;;9.12052117263844;;;-0.24793663302540597;;
1969-10-01;4.666536088531981;4.549679818219388;5.665722379603411;;9.12052117263844;;;-0.10390466249430613;;
1969-11-01;4.678505220021467;4.642305712815231;5.932203389830515;;9.12052117263844;;;0.0017166678070895274;;
1969-12-01;4.751945525291834;4.9101181304571195;5.89887640449438;;9.12052117263844;;;0.08802074388511802;;
1970-01-01;4.700067836030608;4.875677888058938;6.162464985994376;;9.12052117263844;;;0.48762280807598163;;
1970-02-01;4.741899657153881;5.026792549119663;6.424581005586605;;9.12052117263844;;;0.7520534186323432;;
1970-03-01;4.647921172795;4.795042413775574;6.094182825484751;;3.076923076923088;;;1.013383001882075;;
1970-04-01;4.649047208656509;4.864974208556694;6.060606060606077;;0.0;;;1.0376652804905186;;
1970-05-01;4.602031570413456;4.77485645210034;6.043956043956045;;0.0;;;1.0662932222217825;;
1970-06-01;4.6243049284729665;4.541353383458668;6.010928961748618;;0.0;;;0.982676601870378;;
1970-07-01;4.5366384407966365;4.466736537405791;5.7065217391304435;;-1.1940298507462699;;;0.9005392325787259;;
1970-08-01;4.59927355063916;4.4493107052207215;5.691056910569103;;-1.1940298507462699;;;1.0103548521327064;;
1970-09-01;4.618492764517956;4.485527359238706;5.660377358490565;;-1.1940298507462699;;;1.10911394757146;;
