date,core_cpiUS,energy,food,ext_gdp,imp_us
12/1/2014,1.622419505,-36.37471498,-6.858304091,-1.042630068,-5.587808418
1/1/2015,1.631625565,-46.65930472,-11.22984029,-1.448356599,-8.893709328
2/1/2015,1.688083494,-43.16758113,-16.12618196,-1.99946001,-10.22889843
3/1/2015,1.745377707,-43.670476,-22.75200479,-1.879723631,-10.81850534
4/1/2015,1.802827833,-43.08380526,-22.77647097,-1.829678617,-10.45096636
5/1/2015,1.750944095,-40.14506662,-19.6318018,-1.815126903,-9.707351892
6/1/2015,1.777267624,-42.54750164,-18.1283687,-1.524327647,-9.893238434
7/1/2015,1.834631289,-45.41558549,-16.38944646,-0.905971468,-10.49250535
8/1/2015,1.850632327,-49.80745779,-14.9877317,-0.738759872,-11.36690647
9/1/2015,1.897096145,-47.83588751,-14.0467112,-1.068499354,-11.60261059
10/1/2015,1.913533536,-43.25857272,-13.06178881,-1.278783592,-10.66176471
11/1/2015,1.997427524,-43.04042293,-16.50556736,-1.85147426,-9.513108614
12/1/2015,2.071507279,-39.11057979,-15.41541814,-2.0592959,-8.301306687
1/1/2016,2.145022539,-36.80561887,-11.68744793,-2.604169245,-6.507936508
2/1/2016,2.222573822,-42.03800548,-7.782710108,-3.025774453,-6.613545817
3/1/2016,2.142426949,-32.41127458,-1.890660585,-2.615796427,-6.065442937
4/1/2016,2.156654761,-29.77599063,-0.807448712,-1.765235662,-5.275779376
5/1/2016,2.254559597,-26.76770552,0.669879312,-1.72902645,-5.217391304
6/1/2016,2.262211647,-21.24629944,3.266618254,-1.767557757,-4.660347551
7/1/2016,2.170139962,-17.5164109,3.721319928,-1.482038932,-3.668261563
8/1/2016,2.308734561,-5.193292884,5.189261994,-1.575319792,-2.191558442
9/1/2016,2.271120683,-4.402221673,5.625321837,-1.192682805,-1.066447908
10/1/2016,2.204555151,4.825382055,3.944566927,-1.1049104,-0.24691358
11/1/2016,2.14542194,6.253351099,9.080407763,-0.713577353,0.248344371
12/1/2016,2.197123661,36.04147685,10.79952271,-0.754254854,1.927912825
